Anomalous failure?,H,T,S,B,L,H*T,T*S,H*T*S,H*L,CEIL(L/T),HBM_FREQ,KERNEL_FREQ,BUILD_SUCCESS,LUT,FF,BRAM,URAM,DSP,SLOTS_USED
0,7,10,8,16,16,70,80,560,112,2,450,171,1,0.641,0.357,0.436,0.408,0.211,6
0,7,10,8,16,18,70,80,560,126,2,-1,-1,0,0,0,0,0,0,6
0,7,10,8,16,20,70,80,560,140,2,426,201,1,0.637,0.349,0.505,0.466,0.186,6
0,7,10,8,16,24,70,80,560,168,3,-1,-1,0,0,0,0,0,0,6
0,8,8,7,16,12,64,56,448,96,2,450,211,1,0.533,0.293,0.451,0.3,0.211,6
0,8,8,7,16,16,64,56,448,128,2,450,199,1,0.494,0.272,0.562,0.4,0.186,6
0,8,8,7,16,18,64,56,448,144,3,450,199,1,0.54,0.293,0.627,0.45,0.211,6
0,8,8,7,16,20,64,56,448,160,3,450,197,1,0.543,0.292,0.682,0.5,0.211,5
0,8,8,7,16,24,64,56,448,192,3,450,146,1,0.537,0.292,0.792,0.6,0.211,-1
1,8,8,8,16,12,64,64,512,96,2,-1,-1,0,0.62,0.343,0.452,0.3,0.241,6
0,8,8,8,16,16,64,64,512,128,2,450,207,1,0.574,0.32,0.563,0.4,0.213,6
0,8,8,8,16,18,64,64,512,144,3,-1,-1,0,0.624,0.343,0.626,0.45,0.241,6
0,8,8,8,16,20,64,64,512,160,3,450,194,1,0.629,0.344,0.682,0.5,0.241,6
0,8,8,8,16,24,64,64,512,192,3,-1,-1,0,0,0,0,0,0,-1
0,9,8,7,16,12,72,56,504,108,2,450,214,1,0.587,0.321,0.496,0.337,0.237,6
0,9,8,7,16,16,72,56,504,144,2,397,206,1,0.543,0.298,0.621,0.45,0.209,6
0,9,8,7,16,18,72,56,504,162,3,450,191,1,0.594,0.321,0.692,0.506,0.237,6
0,9,8,7,16,20,72,56,504,180,3,450,204,1,0.598,0.321,0.755,0.562,0.237,6
0,9,8,7,16,22,72,56,504,198,3,-1,-1,0,0,0,0,0,0,6
0,9,9,7,16,12,81,63,567,108,2,450,221,1,0.631,0.345,0.469,0.393,0.237,6
0,9,9,7,16,16,81,63,567,144,2,450,186,1,0.632,0.345,0.585,0.525,0.237,6
0,9,9,7,16,18,81,63,567,162,2,450,195,1,0.625,0.337,0.621,0.525,0.209,6
0,9,9,7,16,20,81,63,567,180,3,296,178,1,0.639,0.345,0.692,0.59,0.237,6
0,9,9,7,16,22,81,63,567,198,3,-1,-1,0,0,0,0,0,0,6
0,10,7,7,16,8,70,49,490,80,2,450,208,1,0.585,0.322,0.282,0.312,0.264,6
0,10,7,7,16,10,70,49,490,100,2,450,214,1,0.585,0.322,0.316,0.375,0.264,6
0,10,7,7,16,12,70,49,490,120,2,450,213,1,0.585,0.322,0.356,0.437,0.264,6
0,10,7,7,16,14,70,49,490,140,2,450,215,1,0.58,0.315,0.391,0.5,0.233,6
0,10,7,7,16,16,70,49,490,160,3,414,202,1,0.595,0.322,0.445,0.625,0.264,6
0,10,8,7,16,8,80,56,560,80,1,450,206,1,0.579,0.322,0.391,0.25,0.233,6
0,10,8,7,16,10,80,56,560,100,2,450,180,1,0.639,0.348,0.47,0.312,0.264,6
0,10,8,7,16,12,80,56,560,120,2,450,207,1,0.641,0.349,0.539,0.375,0.264,6
1,10,8,7,16,14,80,56,560,140,2,-1,-1,0,0,0,0,0,0,6
0,10,8,7,16,16,80,56,560,160,2,-1,-1,0,0,0,0,0,0,6
0,11,7,7,16,8,77,49,539,88,2,450,212,1,0.634,0.347,0.298,0.343,0.29,6
0,11,7,7,16,10,77,49,539,110,2,450,218,1,0.633,0.347,0.337,0.412,0.29,6
0,11,7,7,16,12,77,49,539,132,2,450,211,1,0.632,0.347,0.38,0.481,0.29,6
0,11,7,7,16,14,77,49,539,154,2,450,166,1,0.626,0.338,0.418,0.55,0.256,6
0,11,7,7,16,16,77,49,539,176,3,450,195,1,0.644,0.347,0.479,0.687,0.29,6
0,11,8,7,16,8,88,56,616,88,1,450,210,1,0.626,0.347,0.419,0.275,0.256,6
0,11,8,7,16,10,88,56,616,110,2,-1,-1,0,0,0,0,0,0,6
0,11,8,7,16,12,88,56,616,132,2,-1,-1,0,0,0,0,0,0,6
0,11,8,7,16,14,88,56,616,154,2,-1,-1,0,0,0,0,0,0,6
0,11,8,7,16,16,88,56,616,176,2,-1,-1,0,0,0,0,0,0,6
